,explainer_name,charact_phen_hard,charact_phen_soft,charact_gnn_hard,charact_gnn_soft
8,random,0.06641640776595935,0.35663546381043737,0.26871592510402204,0.36334187641904375
9,sa,0.4568073708716709,0.43287534677842093,0.5288691220237184,0.4384735125395021
10,subgraphx,,0.4343440618933745,0.47042309567224483,0.4697388370777827
2,gnnexplainer,0.8330034200911174,0.49924172066801104,0.7223895432258235,0.5008149113639652
0,basic_gnnexplainer,0.8258347082442283,0.5000886699620577,0.7268671755065327,0.5014954849956044
3,gradcam,0.8354848226411838,0.5194282705498586,0.7349316511805455,0.5177667257210082
1,distance,0.8258347080722056,0.5485277410674736,0.7268671760358583,0.5299961313388829
6,pagerank,0.8258347083992386,0.5781720828540993,0.7268671740898625,0.5618670064361048
4,ig,0.8386196063851658,0.5858099098434669,0.7411875675601147,0.5704045038271984
7,pgmexplainer,0.8258475279970606,0.7421614993828329,0.7268668296223011,0.7197943897786285
5,occlusion,0.8258347083992386,0.7882287133967005,0.7268671748105038,0.7518152817298546
