,explainer_name,charact_phen_hard,charact_phen_soft,charact_gnn_hard,charact_gnn_soft
8,random,-0.05409101922110353,0.23537595667879194,0.21730287983801638,0.25153404036500004
0,basic_gnnexplainer,0.7054277759525874,0.4314211111951267,0.6548489161156967,0.4249490510161364
2,gnnexplainer,0.7677731797487675,0.4551319912302128,0.6843116248090839,0.4576192637110982
9,sa,0.4892565003971199,0.45621293382793754,0.5260249791129098,0.4361205927188867
1,distance,0.7944540779467504,0.5126047657586708,0.712627777673537,0.5017579911763288
3,gradcam,0.8322253403710582,0.5177990574374687,0.7376626453776222,0.5100144493400407
6,pagerank,0.821649074217217,0.5693670195648528,0.7309592994379216,0.5552493036944322
4,ig,0.8107704403472052,0.5799803237029424,0.7269418817597536,0.5617454880580146
7,pgmexplainer,0.769841924488867,0.7058912647104771,0.6971428777535982,0.6869655435231687
5,occlusion,0.8371320295296948,0.7866050010299683,0.7441888620334567,0.7604063795510891
